Country,Year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,Population_Density,Birth_Rate,Child_Mortality
Luxembourg,2020,625.9760132,91.4529953,99.87993254,0.0,0.1200674649,0.0,98.5952381,0.0,1.404761905,0.0,100.0,0.0,0.0,0,244.874264894386,10.2,2.7809
Mauritius,2015,1259.457031,41.0,99.86648182,0.0,0.1335181809,0.0,99.82768234,0.0,0.1723176618,0.0,99.92231522,0.0,0.07768478119,0,632.388082123185,10.1,14.6004
Mauritius,2020,1271.766968,40.75999832,99.8662547,0.0,0.1337453014,0.0,99.82768234,0.0,0.1723176618,0.0,99.92231522,0.0,0.07768478119,0,633.957936905358,10.6,16.3296
Sweden,2020,10099.26953,87.97699738,99.82686763,0.0,0.1731323735,0.0,99.71937474,0.0,0.2806252626,0.0,99.84155768,0.0,0.1584423157,0,25.4207233696844,10.9,2.5459
Costa Rica,2020,5094.11377,80.77099609,99.81053693,0.1894594746,3.594451897e-06,0.0,99.64625,0.35375,0.0,0.0,99.84965286,0.1503471429,0.0,0,100.33499804152,12.152,7.9247
Cyprus,2015,1160.987061,66.94599915,99.78851757,0.0,0.2114824349,0.0,99.86118554,0.0,0.1388144553,0.0,99.75264231,0.0,0.2473576943,0,128.493506493506,11.208,2.7872
Slovakia,2020,5459.643066,53.75999832,99.78769858,0.2123014241,0.0,0.0,100.0,0.0,0.0,0.0,99.60509406,0.3949059374,0.0,0,,,5.7301
Slovakia,2015,5435.61377,53.88899994,99.78718913,0.2128108674,0.0,0.0,100.0,0.0,0.0,0.0,99.60509406,0.3949059374,0.0,0,,,6.2456
Sweden,2015,9764.949219,86.5530014,99.78123103,0.0,0.2187689729,0.0,99.54998653,0.0,0.4500134657,0.0,99.81716039,0.0,0.1828396148,0,24.0582617728817,11.7,2.8715
Cyprus,2020,1207.360962,66.82099915,99.76517318,0.0,0.2348268167,0.0,99.84576172,0.0,0.1542382836,0.0,99.72515812,0.0,0.2748418825,0,133.932575757576,10.583,2.8047
Estonia,2015,1315.329956,68.41600037,99.75130757,0.0,0.2486924289,0.0,99.24411581,0.0,0.7558841903,0.0,99.98545421,0.0,0.01454579307,0,30.26011042098,10.6,3.114
Mexico,2020,128932.75,80.73099518,99.67956828,0.0,0.3204317169,0.0,98.33706893,0.0,1.662931067,0.0,100.0,0.0,0.0,0,64.8156084261426,15.565,13.7052
Palau,2020,18.09199905,80.98799896,99.6575455,0.0,0.3424544984,0.0,99.75698503,0.0,0.2430149677,0.0,99.63420199,0.0,0.3657980078,0,39.0695652173913,12.1,16.8136
Palau,2015,17.66500092,78.15899658,99.63015085,0.0,0.3698491499,0.0,99.61387148,0.0,0.3861285173,0.0,99.63470173,0.0,0.3652982706,0,38.6826086956522,13.7,19.7431
Paraguay,2020,7132.529785,62.18299484,99.59346633,0.4065302439,3.4229177e-06,0.0,99.11122753,0.8887724684,0.0,0.0,99.88674854,0.1132514643,0.0,0,16.6591870123332,20.946,18.7417
Estonia,2020,1326.53894,69.22900391,99.59078178,0.0,0.4092182232,0.0,,,,,99.98545421,0.0,0.01454579307,0,31.0999298245614,9.9,2.1323
Armenia,2015,2925.559082,63.0850029,99.5525667,0.0,0.09850508366,0.3489282205,99.05477927,0.0,0.0,0.9452207347,99.8438534,0.0,0.1561465981,0,101.109764664559,14.641,14.4079
Maldives,2020,540.5419922,40.66899872,99.5444386,0.0480506913,0.407510705,0.0,99.9190125,0.0809875,0.0,0.0,98.99798893,0.0,1.002011069,0,1714.79333333333,14.576,6.4225
Brunei Darussalam,2015,414.9140015,76.66299438,99.50997616,0.0,0.3966758338,0.09334800295,99.05,0.0,0.55,0.4,99.65,0.0,0.35,0,79.9690702087287,16.546,10.591
Chile,2015,17969.35547,87.36000061,99.50649272,0.0,0.4935072758,0.0,97.0676985,0.0,2.932301498,0.0,99.85935698,0.0,0.1406430186,0,24.03410209648,13.211,7.9592
Uruguay,2020,3473.727051,95.51499939,99.49575756,0.5042424412,0.0,0.0,95.30083,4.69917,0.0,0.0,99.69273444,0.3072655617,0.0,0,19.5925379956576,10.339,6.2845
Egypt,2020,102334.4063,42.78300095,99.44017596,0.2376091086,0.3222149265,0.0,99.33283515,0.3359418224,0.3312230319,0.0,99.5837311,0.1061012067,0.3101676943,0,,,19.5844
Costa Rica,2015,4847.805176,76.86199951,99.37868682,0.2541303784,0.2113350186,0.1558477843,98.18603249,0.4100611535,0.7303485768,0.6735577778,99.73771511,0.2071900718,0.0550948183,0,95.8723462593028,14.522,9.0799
Brazil,2020,212559.4063,87.07299805,99.32085299,0.1265490039,0.5525980099,,95.94525953,0.9789509154,3.075789551,,99.82200131,0.0,0.1779986949,0,25.5076253807665,13.078,14.6955
Thailand,2015,68714.51563,47.69400406,99.25917058,0.2176525852,0.1822513237,0.3409255143,98.87951671,0.2456716052,0.2230211905,0.65179049,99.67553684,0.1869241354,0.1375390245,0,137.592039382254,10.607,10.7905
Poland,2015,38034.07422,60.27799606,99.23206988,0.0,0.7679301246,0.0,98.53790323,0.0,1.462096774,0.0,99.68951613,0.0,0.310483871,0,124.061569613639,9.7,4.8906
Canada,2015,36026.66797,81.25900269,99.22922139,0.0,0.7707786091,0.0,98.81619508,0.0,1.183804922,0.0,99.32447885,0.0,0.6755211473,0,3.98239245827659,10.7,5.3854
Canada,2020,37742.15625,81.56200409,99.22181066,0.0,0.7781893369,0.0,99.0604959,0.0,0.9395041006,0.0,99.25827766,0.0,0.7417223371,0,4.24162135453439,9.5,5.1144
Bulgaria,2015,7199.73877,73.98999786,99.19632731,0.0,0.8036726905,0.0,98.01614034,0.0,1.98385966,0.0,99.61120772,0.0,0.3887922761,0,66.1200350036846,9.2,8.1321
Uruguay,2015,3412.012939,95.04499817,99.13139756,0.5381047353,0.307497473,0.02300023019,91.49584384,4.511550681,3.528423211,0.464182271,99.52946198,0.3309562908,0.139581727,0,19.4424522911667,14.216,8.9092
Egypt,2015,92442.54688,42.78499985,99.10671754,0.2863725401,0.5934398293,0.01347009398,98.80187792,0.4103462964,0.7642328381,0.02354294118,99.51436973,0.1205864308,0.3650438422,0,,,23.423
Bulgaria,2020,6948.444824,75.68599701,99.01141694,0.0,0.9885830607,0.0,97.40128797,0.0,2.598712031,0.0,99.5286704,0.0,0.4713296007,0,63.8726510685335,8.5,6.4784
Jordan,2015,9266.573242,90.25600433,99.00678491,0.1524029836,0.7812311648,0.05958093834,97.36231539,0.6242725518,1.973552059,0.03986,99.18431682,0.1014601355,0.6525130437,0.06171,106.941270556432,24.441,17.5075
Argentina,2015,43075.41406,91.50299835,98.96658815,0.0,0.6649143791,0.3684974742,92.98366005,0.0,2.679544899,4.336795051,99.52216305,0.0,0.4778369473,0,15.7606327351655,17.346,11.5936
Jordan,2020,10203.13965,91.41799927,98.94030296,0.1462147369,0.8536474704,0.05983483179,97.31147869,0.6239465945,2.024714716,0.03986,99.09321259,0.1013669408,0.7437104707,0.06171,123.079498614771,22.265,15.0471
Montenegro,2020,628.0620117,67.48800659,98.85691652,0.5454788204,0.592312011,0.005292650894,98.16188754,0.0,1.821833386,0.01627906977,99.19173959,0.8082604128,0.0,0,46.1937546468401,11.4,2.4592
Maldives,2015,454.9140015,38.52899933,98.81424429,0.1121578799,1.073597835,0.0,98.87969927,0.1669852816,0.953315453,0.0,98.70980569,0.02468362233,1.265510688,0,1451.94,17.465,9.773
Latvia,2020,1886.202026,68.31500244,98.78260115,0.6823007424,0.5350981037,0.0,98.57922314,0.0,1.42077686,0.0,98.87692469,0.9987568151,0.1243184908,0,30.5391129680219,9.2,3.8172
Tonga,2020,105.6969986,23.09899902,98.73108083,0.8814972962,0.3874218777,0.0,98.46807854,1.103159706,0.4287617551,0.0,99.60665819,0.143540536,0.2498012758,0,146.186111111111,23.139,11.434
Tonga,2015,100.7799988,23.27499962,98.54970535,0.8789821223,0.5713125286,0.0,98.39304823,1.102319124,0.5046326475,0.0,99.06611056,0.142761567,0.7911278728,0,147.391666666667,25.171,12.3727
Latvia,2015,1997.675049,67.97999573,98.52511728,0.6787074231,0.7961752931,0.0,97.85471901,0.0,2.145280992,0.0,98.84089334,0.998392862,0.1607138001,0,31.7792437366417,11.1,5.0656
Belize,2020,397.6210022,46.02500153,98.40195463,1.249110629,0.3489347411,0.0,97.99520758,1.358317682,0.6464747393,0.0,98.87896,1.12104,0.0,0,17.3135028496274,17.881,11.7029
Iraq,2020,40222.50391,70.89299774,98.35990325,0.8921603495,2.427900808e-06,0.7479339713,94.83114678,2.599251339,0.0,2.569601877,99.80873103,0.19126897,0.0,0,98.0286551431836,27.732,25.3579
Mexico,2015,121858.25,79.28499603,98.02544354,0.0,1.412360964,0.5621954921,93.28669403,0.0,4.310938852,2.402367121,99.2635529,0.0,0.655038006,0.08140909465,61.8070922606034,17.968,16.2142
Lithuania,2020,2722.291016,68.04599762,98.01334724,0.0,1.98665276,0.0,93.78278023,0.0,6.217219771,0.0,100.0,0.0,0.0,0,44.6324656659214,9.0,3.504
Suriname,2020,586.6339722,66.14900208,97.98963167,1.067246941,0.3793365073,0.563784884,96.57441263,1.60029586,0.1598017947,1.66548972,98.71385387,0.7944652371,0.4916808925,0,3.89144230769231,18.279,17.7085
El Salvador,2020,6486.201172,73.44400024,97.94657541,0.2072632319,0.3151739969,1.530987366,93.45439508,0.7804762049,0.0,5.765128712,99.57087001,0.0,0.4291299944,0,303.703233590734,16.188,12.8444
Uzbekistan,2020,33469.19922,50.41599655,97.82878485,0.0,0.22384422,1.947370925,96.07258236,0.0,0.0,3.927417637,99.55600556,0.0,0.4439944434,0,77.6853511857483,24.6,14.7259
Brazil,2015,204471.7656,85.77000427,97.80356759,0.5795000229,0.4749657091,1.141966676,88.75602818,2.853773578,0.3651342381,8.025064008,99.30463102,0.2021779344,0.4931910454,0,24.5495056316357,14.727,15.9482
North Macedonia,2020,2083.379883,58.48199844,97.74281579,1.63499414,0.5742284762,0.04796159706,97.46871457,1.505202232,0.9105631982,0.11552,97.93740299,1.727136954,0.3354600563,0,73.5973037272006,9.2,5.9307
Bangladesh,2020,164689.3906,38.17700195,97.69796025,1.156425878,0.4626557002,0.6829581735,97.88023776,0.8581049804,0.3164802414,0.9451770151,97.40277797,1.639520121,0.6993752147,0.2583266934,1286.17155258508,18.053,28.7675
